"Careful Sex, 15-19","Careful Sex, 20-24","Careful Sex, 25-29","Careful Sex, 30-34","Careful Sex, 35-39","Careful Sex, 40- 44","Unsafe Sex, 15-19","Unsafe Sex, 20-24","Unsafe Sex, 25-29","Unsafe Sex, 30-34","Unsafe Sex, 35-39","Unsafe Sex, 40-44",Seeking Pregnancy,Pregnant
,10,3,1,10,,,,,,,,,
,3,15,10,4,,,,,,,,,
,8,5,20,0,,,,,,,,,
,3,5,0,4,,,,,,,,,
,7,28,30,3,,,,,,,,,
,8,1,3,5,,,,,,,,,
,0,3,0,20,,,,,,,,,
,6,8,15,20,,,,,,,,,
,3,3,20,3,,,,,,,,,
,1,10,6,0,,,,,,,,,
,0,4,23,6,,,,,,,,,
,0,17,2,4,,,,,,,,,
,8,7,0,7,,,,,,,,,
,8,14,15,20,,,,,,,,,
,5,4,16,20,,,,,,,,,
,10,0,15,30,,,,,,,,,
,0,10,1,4,,,,,,,,,
,10,6,5,5,,,,,,,,,
,7,20,4,2,,,,,,,,,
,10,1,0,2,,,,,,,,,
,2,7,12,4,,,,,,,,,
,4,8,5,3,,,,,,,,,
,3,1,2,3,,,,,,,,,
,10,2,10,3,,,,,,,,,
,2,25,10,2,,,,,,,,,
,10,0,12,0,,,,,,,,,
,20,2,4,4,,,,,,,,,
,1,15,4,2,,,,,,,,,
,15,2,13,0,,,,,,,,,
,,5,0,0,,,,,,,,,
,,5,50,4,,,,,,,,,
,,20,2,5,,,,,,,,,
,,4,8,4,,,,,,,,,
,,4,0,6,,,,,,,,,
,,6,15,4,,,,,,,,,
,,10,2,12,,,,,,,,,
,,2,8,15,,,,,,,,,
,,6,4,0,,,,,,,,,
,,0,1,0,,,,,,,,,
,,1,1,3,,,,,,,,,
,,2,4,2,,,,,,,,,
,,6,5,15,,,,,,,,,
,,15,3,6,,,,,,,,,
,,18,12,8,,,,,,,,,
,,4,0,45,,,,,,,,,
,,20,0,,,,,,,,,,
,,8,0,,,,,,,,,,
,,10,0,,,,,,,,,,
,,20,10,,,,,,,,,,
,,10,0,,,,,,,,,,
,,6,30,,,,,,,,,,
,,1,8,,,,,,,,,,
,,28,5,,,,,,,,,,
,,2,5,,,,,,,,,,
,,20,10,,,,,,,,,,
,,7,4,,,,,,,,,,
,,17,0,,,,,,,,,,
,,10,5,,,,,,,,,,
,,12,1,,,,,,,,,,
,,6,3,,,,,,,,,,
,,3,3,,,,,,,,,,
,,12,2,,,,,,,,,,
,,2,3,,,,,,,,,,
,,10,5,,,,,,,,,,
,,5,5,,,,,,,,,,
,,40,3,,,,,,,,,,
,,1,5,,,,,,,,,,
,,30,15,,,,,,,,,,
,,6,0,,,,,,,,,,
,,11,12,,,,,,,,,,
,,12,8,,,,,,,,,,
,,2,5,,,,,,,,,,
,,12,13,,,,,,,,,,
,,0,3,,,,,,,,,,
,,12,8,,,,,,,,,,
,,0,5,,,,,,,,,,
,,5,8,,,,,,,,,,
,,0,5,,,,,,,,,,
,,15,5,,,,,,,,,,
,,7,0,,,,,,,,,,
,,2,1,,,,,,,,,,
,,15,3,,,,,,,,,,
,,,12,,,,,,,,,,
,,4,5,,,,,,,,,,
,,2,6,,,,,,,,,,
,,4,1,,,,,,,,,,
,,15,13,,,,,,,,,,
,,15,0,,,,,,,,,,
,,5,6,,,,,,,,,,
,,2,2,,,,,,,,,,
,,5,3,,,,,,,,,,
,,5,0,,,,,,,,,,
,,0,2,,,,,,,,,,
,,4,7,,,,,,,,,,
,,8,4,,,,,,,,,,
,,10,3,,,,,,,,,,
